payment_id,customer_id,film_id,store_id,payment_date,sale_amount,rental_date,return_date
31023,178,559,2,2007-04-29T15:13:44.996+08:00,4.99,2005-07-29T16:45:18.000+08:00,2005-08-07T18:51:18.000+08:00
26093,348,220,2,2007-04-27T14:05:27.996+08:00,2.99,2005-07-27T15:37:01.000+08:00,2005-08-03T19:24:01.000+08:00
18410,583,283,1,2007-02-21T16:11:17.996+08:00,0.99,2005-06-21T17:42:51.000+08:00,2005-06-24T23:22:51.000+08:00
19819,297,783,1,2007-03-21T09:09:00.996+08:00,5.99,2005-08-21T10:40:34.000+08:00,2005-08-29T11:29:34.000+08:00
24779,226,266,1,2007-03-21T19:51:22.996+08:00,0.99,2005-08-21T21:22:56.000+08:00,2005-08-25T01:53:56.000+08:00
20500,372,652,1,2007-03-21T22:15:42.996+08:00,1.99,2005-08-21T23:47:16.000+08:00,2005-08-25T04:48:16.000+08:00
28782,589,242,1,2007-04-29T03:52:28.996+08:00,3.99,2005-07-29T05:24:02.000+08:00,2005-08-05T03:55:02.000+08:00
25423,291,81,2,2007-04-05T23:11:32.996+08:00,4.99,2005-07-06T00:43:06.000+08:00,2005-07-12T06:18:06.000+08:00
21620,487,708,1,2007-03-17T04:17:17.996+08:00,5.99,2005-08-17T05:48:51.000+08:00,2005-08-22T01:22:51.000+08:00
23590,94,164,1,2007-03-23T08:28:50.996+08:00,0.99,2005-08-23T10:00:24.000+08:00,2005-08-25T08:23:24.000+08:00
28817,592,896,1,2007-04-07T22:18:40.996+08:00,0.99,2005-07-07T23:50:14.000+08:00,2005-07-09T21:55:14.000+08:00
18431,589,980,1,2007-02-19T12:25:34.996+08:00,8.99,2005-06-19T13:57:08.000+08:00,2005-06-27T11:09:08.000+08:00
27681,490,489,2,2007-04-11T12:30:45.996+08:00,2.99,2005-07-11T14:02:19.000+08:00,2005-07-17T08:11:19.000+08:00
27632,486,207,1,2007-04-06T14:51:11.996+08:00,4.99,2005-07-06T16:22:45.000+08:00,2005-07-11T17:04:45.000+08:00
19262,196,326,1,2007-02-20T15:35:12.996+08:00,4.99,2005-06-20T17:06:46.000+08:00,2005-06-28T13:18:46.000+08:00
29943,86,971,1,2007-04-10T10:56:04.996+08:00,8.99,2005-07-10T12:27:38.000+08:00,2005-07-18T09:22:38.000+08:00
24680,214,741,1,2007-03-20T03:07:18.996+08:00,0.99,2005-08-20T04:38:52.000+08:00,2005-08-27T07:17:52.000+08:00
24987,250,999,2,2007-03-22T16:20:31.996+08:00,6.99,2005-08-22T17:52:05.000+08:00,2005-08-31T21:37:05.000+08:00
26721,404,105,1,2007-04-11T06:02:14.996+08:00,1.99,2005-07-11T07:33:48.000+08:00,2005-07-18T06:13:48.000+08:00
19150,171,295,2,2007-02-17T10:12:04.996+08:00,4.99,2005-06-17T11:43:38.000+08:00,2005-06-24T08:05:38.000+08:00
27772,498,831,1,2007-04-11T04:09:01.996+08:00,1.99,2005-07-11T05:40:35.000+08:00,2005-07-17T07:14:35.000+08:00
20306,351,410,2,2007-03-23T09:12:22.996+08:00,2.99,2005-08-23T10:43:56.000+08:00,2005-08-29T15:35:56.000+08:00
25249,276,19,1,2007-04-30T06:31:05.996+08:00,1.99,2005-07-30T08:02:39.000+08:00,2005-08-06T12:02:39.000+08:00
27319,459,4,1,2007-04-05T22:50:55.996+08:00,2.99,2005-07-06T00:22:29.000+08:00,2005-07-07T22:15:29.000+08:00
