film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,language,category
300,Falcon Volume,A Fateful Saga of a Sumo Wrestler And a Hunter who must Redeem a A Shark in New Orleans,2006,5,4.99,102,21.99,PG-13,English,Animation
564,Massage Image,A Fateful Drama of a Frisbee And a Crocodile who must Vanquish a Dog in The First Manned Space Station,2006,4,2.99,161,11.99,PG,English,Animation
316,Fire Wolves,A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria,2006,5,4.99,173,18.99,R,English,Games
589,Modern Dorado,A Awe-Inspiring Story of a Butler And a Sumo Wrestler who must Redeem a Boy in New Orleans,2006,3,0.99,74,20.99,PG,English,Documentary
290,Everyone Craft,A Fateful Display of a Waitress And a Dentist who must Reach a Butler in Nigeria,2006,4,0.99,163,29.99,PG,English,Foreign
957,War Notting,A Boring Drama of a Teacher And a Sumo Wrestler who must Challenge a Secret Agent in The Canadian Rockies,2006,7,4.99,80,26.99,G,English,Foreign
660,Party Knock,A Fateful Display of a Technical Writer And a Butler who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,2006,7,2.99,107,11.99,PG,English,Comedy
213,Date Speed,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006,4,0.99,104,19.99,R,English,Family
303,Fantasy Troopers,A Touching Saga of a Teacher And a Monkey who must Overcome a Secret Agent in A MySQL Convention,2006,6,0.99,58,27.99,PG-13,English,Action
127,Cat Coneheads,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,2006,5,4.99,112,14.99,G,English,Comedy
228,Detective Vision,A Fanciful Documentary of a Pioneer And a Woman who must Redeem a Hunter in Ancient Japan,2006,4,0.99,143,16.99,PG-13,English,Classics
203,Daisy Menagerie,A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India,2006,5,4.99,84,9.99,G,English,Sci-Fi
932,Valley Packer,A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin,2006,3,0.99,73,21.99,G,English,Comedy
