payment_id,customer_id,film_id,store_id,payment_date,sale_amount,rental_date,return_date
29145,14,591,2,2007-04-09T14:38:51.996+08:00,7.99,2005-07-09T16:10:25.000+08:00,2005-07-18T17:10:25.000+08:00
24032,143,214,1,2007-03-02T12:58:09.996+08:00,6.99,2005-08-02T14:29:43.000+08:00,2005-08-07T10:13:43.000+08:00
20523,374,237,2,2007-03-22T08:41:35.996+08:00,5.99,2005-08-22T10:13:09.000+08:00,2005-08-28T12:42:09.000+08:00
24358,175,189,1,2007-03-01T23:00:10.996+08:00,0.99,2005-08-02T00:31:44.000+08:00,2005-08-05T22:24:44.000+08:00
31968,452,439,1,2007-05-14T13:44:29.996+08:00,4.99,2006-02-14T15:16:03.000+08:00,
20761,399,554,2,2007-03-01T15:00:01.996+08:00,2.99,2005-08-01T16:31:35.000+08:00,2005-08-05T12:04:35.000+08:00
21362,461,628,1,2007-03-01T01:26:33.996+08:00,2.99,2005-08-01T02:58:07.000+08:00,2005-08-05T02:06:07.000+08:00
26119,350,141,2,2007-04-27T15:23:51.996+08:00,4.99,2005-07-27T16:55:25.000+08:00,2005-07-29T11:27:25.000+08:00
29476,42,49,2,2007-04-29T19:04:52.996+08:00,2.99,2005-07-29T20:36:26.000+08:00,2005-07-30T15:06:26.000+08:00
28706,582,583,1,2007-04-30T08:17:07.996+08:00,9.99,2005-07-31T09:48:41.000+08:00,2005-08-08T11:40:41.000+08:00
30175,104,410,2,2007-04-27T03:50:30.996+08:00,2.99,2005-07-27T05:22:04.000+08:00,2005-08-02T06:38:04.000+08:00
29929,84,661,2,2007-04-30T05:10:12.996+08:00,4.99,2005-07-31T06:41:46.000+08:00,2005-08-01T11:02:46.000+08:00
18851,89,101,1,2007-02-18T23:14:22.996+08:00,0.99,2005-06-19T00:45:56.000+08:00,2005-06-21T00:54:56.000+08:00
28914,202,356,2,2007-04-10T15:33:22.996+08:00,2.99,2005-07-10T17:04:56.000+08:00,2005-07-11T15:15:56.000+08:00
26932,423,783,2,2007-04-27T05:23:53.996+08:00,2.99,2005-07-27T06:55:27.000+08:00,2005-08-01T11:10:27.000+08:00
26083,347,181,1,2007-04-30T12:06:17.996+08:00,2.99,2005-07-31T13:37:51.000+08:00,2005-08-07T18:05:51.000+08:00
29904,82,647,2,2007-04-28T08:48:12.996+08:00,0.99,2005-07-28T10:19:46.000+08:00,2005-07-31T04:43:46.000+08:00
18947,114,445,1,2007-02-20T14:35:17.996+08:00,2.99,2005-06-20T16:06:51.000+08:00,2005-06-24T13:23:51.000+08:00
22277,560,329,1,2007-03-02T15:21:46.996+08:00,7.99,2005-08-02T16:53:20.000+08:00,2005-08-11T20:47:20.000+08:00
28380,555,184,2,2007-04-08T17:52:43.996+08:00,2.99,2005-07-08T19:24:17.000+08:00,2005-07-11T19:15:17.000+08:00
18842,87,57,2,2007-02-18T15:19:10.996+08:00,2.99,2005-06-18T16:50:44.000+08:00,2005-06-19T20:11:44.000+08:00
19283,200,78,1,2007-02-20T21:55:41.996+08:00,3.99,2005-06-20T23:27:15.000+08:00,2005-06-28T01:22:15.000+08:00
28927,203,103,1,2007-04-29T06:46:17.996+08:00,4.99,2005-07-29T08:17:51.000+08:00,2005-08-03T13:41:51.000+08:00
