payment_id,customer_id,film_id,store_id,payment_date,sale_amount,rental_date,return_date
20183,339,241,1,2007-03-20T17:41:32.996+08:00,0.99,2005-08-20T19:13:06.000+08:00,2005-08-24T21:24:06.000+08:00
31655,242,80,1,2007-04-07T20:56:58.996+08:00,4.99,2005-07-07T22:28:32.000+08:00,2005-07-16T02:04:32.000+08:00
27642,486,976,2,2007-04-30T08:49:29.996+08:00,0.99,2005-07-30T10:21:03.000+08:00,2005-08-04T15:14:03.000+08:00
23882,128,300,1,2007-03-23T13:53:53.996+08:00,8.99,2005-08-23T15:25:27.000+08:00,2005-09-01T16:14:27.000+08:00
26583,391,670,1,2007-04-10T03:20:30.996+08:00,4.99,2005-07-10T04:52:04.000+08:00,2005-07-13T05:19:04.000+08:00
25394,288,383,2,2007-04-30T19:47:52.996+08:00,2.99,2005-07-30T21:19:26.000+08:00,2005-08-07T18:39:26.000+08:00
21950,524,130,2,2007-03-20T05:23:50.996+08:00,2.99,2005-08-20T06:55:24.000+08:00,2005-08-29T12:32:24.000+08:00
27441,469,873,1,2007-04-30T10:42:29.996+08:00,2.99,2005-07-30T12:14:03.000+08:00,2005-08-04T13:10:03.000+08:00
24136,151,796,2,2007-03-19T14:40:33.996+08:00,0.99,2005-08-19T16:12:07.000+08:00,2005-08-21T12:19:07.000+08:00
20495,372,719,2,2007-03-19T20:45:19.996+08:00,4.99,2005-08-19T22:16:53.000+08:00,2005-08-22T22:28:53.000+08:00
24051,144,709,2,2007-03-21T01:14:24.996+08:00,2.99,2005-08-21T02:45:58.000+08:00,2005-08-27T04:53:58.000+08:00
21575,482,861,2,2007-03-01T21:28:48.996+08:00,4.99,2005-08-01T23:00:22.000+08:00,2005-08-04T04:14:22.000+08:00
25472,294,856,2,2007-04-30T23:41:48.996+08:00,4.99,2005-08-01T01:13:22.000+08:00,2005-08-04T22:57:22.000+08:00
28343,551,626,2,2007-04-06T22:15:09.996+08:00,5.99,2005-07-06T23:46:43.000+08:00,2005-07-14T22:34:43.000+08:00
25908,332,458,1,2007-04-30T17:55:48.996+08:00,5.99,2005-07-30T19:27:22.000+08:00,2005-08-08T15:31:22.000+08:00
19731,288,589,1,2007-03-17T22:18:09.996+08:00,1.99,2005-08-17T23:49:43.000+08:00,2005-08-21T21:00:43.000+08:00
23439,78,432,1,2007-03-21T23:37:00.996+08:00,2.99,2005-08-22T01:08:34.000+08:00,2005-08-25T07:00:34.000+08:00
21765,503,403,1,2007-03-23T08:28:28.996+08:00,4.99,2005-08-23T10:00:02.000+08:00,2005-08-24T05:25:02.000+08:00
25464,294,944,2,2007-04-11T09:53:35.996+08:00,5.99,2005-07-11T11:25:09.000+08:00,2005-07-18T12:09:09.000+08:00
28456,562,302,2,2007-04-27T06:05:22.996+08:00,3.99,2005-07-27T07:36:56.000+08:00,2005-08-02T03:46:56.000+08:00
27355,461,865,2,2007-04-30T19:38:29.996+08:00,4.99,2005-07-31T21:10:03.000+08:00,2005-08-02T21:13:03.000+08:00
18421,587,72,1,2007-02-18T01:50:02.996+08:00,2.99,2005-06-18T03:21:36.000+08:00,2005-06-21T07:45:36.000+08:00
30048,94,727,2,2007-04-28T12:44:56.996+08:00,0.99,2005-07-28T14:16:30.000+08:00,2005-08-03T09:39:30.000+08:00
19869,303,637,1,2007-03-02T12:11:10.996+08:00,4.99,2005-08-02T13:42:44.000+08:00,2005-08-09T17:06:44.000+08:00
21778,504,854,1,2007-03-23T09:45:52.996+08:00,8.99,2005-08-23T11:17:26.000+08:00,2005-08-31T13:58:26.000+08:00
20477,370,250,2,2007-03-22T20:25:41.996+08:00,3.99,2005-08-22T21:57:15.000+08:00,2005-08-29T16:28:15.000+08:00
26075,347,117,2,2007-04-28T19:08:13.996+08:00,4.99,2005-07-28T20:39:47.000+08:00,2005-08-02T16:29:47.000+08:00
26605,393,586,2,2007-04-12T02:13:09.996+08:00,0.99,2005-07-12T03:44:43.000+08:00,2005-07-13T05:54:43.000+08:00
29369,34,40,1,2007-04-30T09:45:59.996+08:00,3.99,2005-07-30T11:17:33.000+08:00,2005-08-06T15:16:33.000+08:00
25181,269,527,1,2007-04-12T07:44:50.996+08:00,5.99,2005-07-12T09:16:24.000+08:00,2005-07-17T04:06:24.000+08:00
23117,45,570,2,2007-03-19T20:33:45.996+08:00,4.99,2005-08-19T22:05:19.000+08:00,2005-08-21T23:53:19.000+08:00
22408,574,706,1,2007-03-20T04:15:51.996+08:00,4.99,2005-08-20T05:47:25.000+08:00,2005-08-23T01:29:25.000+08:00
20968,418,933,1,2007-03-22T00:20:52.996+08:00,4.99,2005-08-22T01:52:26.000+08:00,2005-08-22T23:39:26.000+08:00
29444,40,547,2,2007-04-28T20:00:55.996+08:00,3.99,2005-07-28T21:32:29.000+08:00,2005-08-03T22:02:29.000+08:00
26987,427,199,1,2007-04-11T22:15:57.996+08:00,6.99,2005-07-11T23:47:31.000+08:00,2005-07-19T18:16:31.000+08:00
30740,154,666,1,2007-04-08T17:07:57.996+08:00,5.99,2005-07-08T18:39:31.000+08:00,2005-07-13T00:18:31.000+08:00
31811,257,768,2,2007-04-30T01:43:19.996+08:00,6.99,2005-07-30T03:14:53.000+08:00,2005-08-04T00:50:53.000+08:00
17848,431,239,1,2007-02-17T17:01:30.996+08:00,4.99,2005-06-17T18:33:04.000+08:00,2005-06-21T17:29:04.000+08:00
22699,2,999,2,2007-03-21T21:10:22.996+08:00,5.99,2005-08-21T22:41:56.000+08:00,2005-08-29T00:18:56.000+08:00
19626,276,668,2,2007-03-18T02:27:28.996+08:00,4.99,2005-08-18T03:59:02.000+08:00,2005-08-19T02:38:02.000+08:00
25546,300,776,1,2007-04-28T06:42:37.996+08:00,4.99,2005-07-28T08:14:11.000+08:00,2005-07-30T02:34:11.000+08:00
28779,589,857,2,2007-04-27T15:55:53.996+08:00,3.99,2005-07-27T17:27:27.000+08:00,2005-07-31T18:40:27.000+08:00
26216,359,103,1,2007-04-28T20:05:18.996+08:00,4.99,2005-07-28T21:36:52.000+08:00,2005-08-04T00:32:52.000+08:00
18562,18,10,2,2007-02-16T17:51:49.996+08:00,4.99,2005-06-16T19:23:23.000+08:00,2005-06-18T00:57:23.000+08:00
24744,221,585,2,2007-03-18T15:55:04.996+08:00,3.99,2005-08-18T17:26:38.000+08:00,2005-08-25T13:24:38.000+08:00
23390,74,208,2,2007-03-18T06:36:11.996+08:00,3.99,2005-08-18T08:07:45.000+08:00,2005-08-26T10:42:45.000+08:00
28503,566,73,2,2007-04-28T17:50:48.996+08:00,2.99,2005-07-28T19:22:22.000+08:00,2005-08-01T22:13:22.000+08:00
20212,342,40,1,2007-03-16T23:58:27.996+08:00,0.99,2005-08-17T01:30:01.000+08:00,2005-08-18T22:21:01.000+08:00
22123,542,64,1,2007-03-19T22:38:02.996+08:00,0.99,2005-08-20T00:09:36.000+08:00,2005-08-25T01:22:36.000+08:00
22447,578,350,2,2007-03-20T00:19:49.996+08:00,5.99,2005-08-20T01:51:23.000+08:00,2005-08-24T05:32:23.000+08:00
18309,557,694,2,2007-02-20T07:27:34.996+08:00,6.99,2005-06-20T08:59:08.000+08:00,2005-06-28T04:31:08.000+08:00
31650,241,616,1,2007-04-30T22:27:02.996+08:00,6.99,2005-07-30T23:58:36.000+08:00,2005-08-07T21:08:36.000+08:00
24693,215,450,2,2007-03-23T05:24:41.996+08:00,2.99,2005-08-23T06:56:15.000+08:00,2005-08-24T07:37:15.000+08:00
18510,4,19,2,2007-02-16T14:20:18.996+08:00,0.99,2005-06-16T15:51:52.000+08:00,2005-06-20T13:27:52.000+08:00
28374,553,298,2,2007-04-30T13:33:48.996+08:00,4.99,2005-07-30T15:05:22.000+08:00,2005-08-05T10:02:22.000+08:00
27708,493,590,1,2007-04-12T03:30:27.996+08:00,7.99,2005-07-12T05:02:01.000+08:00,2005-07-20T06:19:01.000+08:00
29866,78,489,1,2007-04-30T06:00:11.996+08:00,5.99,2005-07-30T07:31:45.000+08:00,2005-08-08T06:40:45.000+08:00
29284,28,496,2,2007-04-08T10:14:01.996+08:00,0.99,2005-07-08T11:45:35.000+08:00,2005-07-10T09:46:35.000+08:00
20163,337,182,2,2007-03-22T16:16:06.996+08:00,4.99,2005-08-22T17:47:40.000+08:00,2005-08-29T15:28:40.000+08:00
31350,217,319,2,2007-04-10T02:25:31.996+08:00,2.99,2005-07-10T03:57:05.000+08:00,2005-07-13T02:16:05.000+08:00
