film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,language,category
646,Outbreak Divine,A Unbelieveable Yarn of a Database Administrator And a Woman who must Succumb a A Shark in A U-Boat,2006,6,0.99,169,12.99,NC-17,English,Games
875,Talented Homicide,A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat,2006,6,0.99,173,9.99,PG,English,Sports
973,Wife Turn,A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan,2006,3,4.99,183,27.99,NC-17,English,Documentary
825,Speakeasy Date,A Lacklusture Drama of a Forensic Psychologist And a Car who must Redeem a Man in A Manhattan Penthouse,2006,6,2.99,165,22.99,PG-13,English,Action
985,Wonderland Christmas,A Awe-Inspiring Character Study of a Waitress And a Car who must Pursue a Mad Scientist in The First Manned Space Station,2006,4,4.99,111,19.99,PG,English,Sci-Fi
422,Hollow Jeopardy,A Beautiful Character Study of a Robot And a Astronaut who must Overcome a Boat in A Monastery,2006,7,4.99,136,25.99,NC-17,English,Sci-Fi
293,Exorcist Sting,A Touching Drama of a Dog And a Sumo Wrestler who must Conquer a Mad Scientist in Berlin,2006,6,2.99,167,17.99,G,English,Sports
762,Sassy Packer,A Fast-Paced Documentary of a Dog And a Teacher who must Find a Moose in A Manhattan Penthouse,2006,6,0.99,154,29.99,G,English,Games
486,Jet Neighbors,A Amazing Display of a Lumberjack And a Teacher who must Outrace a Woman in A U-Boat,2006,7,4.99,59,14.99,R,English,Foreign
969,West Lion,A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse,2006,4,4.99,159,29.99,G,English,Drama
8,Airport Pollock,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,6,4.99,54,15.99,R,English,Horror
872,Sweet Brotherhood,A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Chase a Forensic Psychologist in A Baloon,2006,3,2.99,185,27.99,R,English,Travel
914,Trouble Date,A Lacklusture Panorama of a Forensic Psychologist And a Woman who must Kill a Explorer in Ancient Japan,2006,6,2.99,61,13.99,PG,English,Travel
896,Tootsie Pilot,A Awe-Inspiring Documentary of a Womanizer And a Pastry Chef who must Kill a Lumberjack in Berlin,2006,3,0.99,157,10.99,PG,English,Children
93,Brannigan Sunrise,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,2006,4,4.99,121,27.99,PG,English,New
134,Champion Flatliners,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,2006,4,4.99,51,21.99,PG,English,Animation
546,Madre Gables,A Intrepid Panorama of a Sumo Wrestler And a Forensic Psychologist who must Discover a Moose in The First Manned Space Station,2006,7,2.99,98,27.99,PG-13,English,Games
109,Butterfly Chocolat,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,2006,3,0.99,89,17.99,G,English,New
755,Sabrina Midnight,A Emotional Story of a Squirrel And a Crocodile who must Succumb a Husband in The Sahara Desert,2006,5,4.99,99,11.99,PG,English,Children
54,Banger Pinocchio,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,5,0.99,113,15.99,R,English,Music
892,Titanic Boondock,A Brilliant Reflection of a Feminist And a Dog who must Fight a Boy in A Baloon Factory,2006,3,4.99,104,18.99,R,English,Animation
909,Treasure Command,A Emotional Saga of a Car And a Madman who must Discover a Pioneer in California,2006,3,0.99,102,28.99,PG-13,English,Horror
133,Chamber Italian,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,7,4.99,117,14.99,NC-17,English,Music
315,Finding Anaconda,A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans,2006,4,0.99,156,10.99,R,English,Family
338,Frisco Forrest,A Beautiful Documentary of a Woman And a Pioneer who must Pursue a Mad Scientist in A Shark Tank,2006,6,4.99,51,23.99,PG,English,Sci-Fi
778,Secrets Paradise,A Fateful Saga of a Cat And a Frisbee who must Kill a Girl in A Manhattan Penthouse,2006,3,4.99,109,24.99,G,English,Family
509,Language Cowboy,A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park,2006,5,0.99,78,26.99,NC-17,English,Children
