payment_id,customer_id,film_id,store_id,payment_date,sale_amount,rental_date,return_date
31659,242,392,1,2007-04-29T07:30:39.996+08:00,4.99,2005-07-29T09:02:13.000+08:00,2005-08-03T04:32:13.000+08:00
30379,123,168,2,2007-04-27T20:01:05.996+08:00,4.99,2005-07-27T21:32:39.000+08:00,2005-08-05T23:42:39.000+08:00
22095,539,984,1,2007-03-22T19:52:45.996+08:00,2.99,2005-08-22T21:24:19.000+08:00,2005-08-25T22:32:19.000+08:00
23693,109,410,1,2007-03-19T15:55:36.996+08:00,3.99,2005-08-19T17:27:10.000+08:00,2005-08-27T16:00:10.000+08:00
19180,177,804,2,2007-02-16T05:52:38.996+08:00,4.99,2005-06-16T07:24:12.000+08:00,2005-06-19T02:35:12.000+08:00
17873,438,979,1,2007-02-19T04:00:48.996+08:00,4.99,2005-06-19T05:32:22.000+08:00,2005-06-25T23:42:22.000+08:00
30959,173,366,2,2007-04-06T09:22:00.996+08:00,0.99,2005-07-06T10:53:34.000+08:00,2005-07-07T13:43:34.000+08:00
26201,357,504,2,2007-04-30T12:12:41.996+08:00,3.99,2005-07-30T13:44:15.000+08:00,2005-08-07T13:02:15.000+08:00
20499,372,687,1,2007-03-21T06:58:04.996+08:00,2.99,2005-08-21T08:29:38.000+08:00,2005-08-29T13:18:38.000+08:00
25462,294,703,2,2007-04-06T23:56:10.996+08:00,4.99,2005-07-07T01:27:44.000+08:00,2005-07-10T21:30:44.000+08:00
26861,416,449,1,2007-04-28T10:25:23.996+08:00,2.99,2005-07-28T11:56:57.000+08:00,2005-07-29T14:06:57.000+08:00
25370,286,862,1,2007-04-27T15:39:08.996+08:00,2.99,2005-07-27T17:10:42.000+08:00,2005-08-03T19:32:42.000+08:00
20292,350,461,2,2007-03-16T21:45:12.996+08:00,0.99,2005-08-16T23:16:46.000+08:00,2005-08-18T20:49:46.000+08:00
31430,224,40,2,2007-04-29T05:57:09.996+08:00,2.99,2005-07-29T07:28:43.000+08:00,2005-08-04T11:22:43.000+08:00
22292,561,993,1,2007-03-23T17:22:33.996+08:00,2.99,2005-08-23T18:54:07.000+08:00,2005-08-28T21:21:07.000+08:00
