payment_id,customer_id,film_id,store_id,payment_date,sale_amount,rental_date,return_date
22200,551,268,2,2007-03-21T16:25:52.996+08:00,4.99,2005-08-21T17:57:26.000+08:00,2005-08-25T14:04:26.000+08:00
30626,144,659,2,2007-04-12T07:02:15.996+08:00,7.99,2005-07-12T08:33:49.000+08:00,2005-07-18T07:28:49.000+08:00
20406,363,133,1,2007-03-01T03:34:16.996+08:00,6.99,2005-08-01T05:05:50.000+08:00,2005-08-10T07:15:50.000+08:00
28416,558,518,1,2007-04-29T22:13:01.996+08:00,4.99,2005-07-29T23:44:35.000+08:00,2005-08-01T05:25:35.000+08:00
20894,412,178,1,2007-03-20T21:19:25.996+08:00,3.99,2005-08-20T22:50:59.000+08:00,2005-08-29T00:45:59.000+08:00
29574,51,45,1,2007-04-27T23:37:02.996+08:00,5.99,2005-07-28T01:08:36.000+08:00,2005-08-03T21:36:36.000+08:00
29672,62,791,2,2007-04-07T07:39:23.996+08:00,4.99,2005-07-07T09:10:57.000+08:00,2005-07-09T10:19:57.000+08:00
23488,84,896,2,2007-03-01T10:53:08.996+08:00,0.99,2005-08-01T12:24:42.000+08:00,2005-08-03T08:39:42.000+08:00
18392,578,92,2,2007-02-16T20:22:18.996+08:00,6.99,2005-06-16T21:53:52.000+08:00,2005-06-25T18:46:52.000+08:00
29417,38,283,1,2007-04-28T05:56:42.996+08:00,0.99,2005-07-28T07:28:16.000+08:00,2005-07-31T12:03:16.000+08:00
26091,348,978,2,2007-04-10T22:20:18.996+08:00,0.99,2005-07-10T23:51:52.000+08:00,2005-07-11T23:29:52.000+08:00
23288,63,593,2,2007-03-18T12:07:52.996+08:00,0.99,2005-08-18T13:39:26.000+08:00,2005-08-22T09:05:26.000+08:00
23352,70,938,1,2007-03-18T14:17:41.996+08:00,6.99,2005-08-18T15:49:15.000+08:00,2005-08-23T20:18:15.000+08:00
29773,71,556,2,2007-04-10T14:15:16.996+08:00,4.99,2005-07-10T15:46:50.000+08:00,2005-07-13T15:28:50.000+08:00
22528,587,882,2,2007-03-22T19:42:17.996+08:00,0.99,2005-08-22T21:13:51.000+08:00,2005-08-23T20:55:51.000+08:00
23477,82,600,2,2007-03-21T13:27:24.996+08:00,0.99,2005-08-21T14:58:58.000+08:00,2005-08-24T13:19:58.000+08:00
20398,362,207,1,2007-03-20T04:31:14.996+08:00,6.99,2005-08-20T06:02:48.000+08:00,2005-08-29T09:39:48.000+08:00
23826,123,206,1,2007-03-18T06:15:01.996+08:00,2.99,2005-08-18T07:46:35.000+08:00,2005-08-26T12:01:35.000+08:00
29392,36,677,1,2007-04-28T00:03:43.996+08:00,0.99,2005-07-28T01:35:17.000+08:00,2005-08-01T00:14:17.000+08:00
25784,322,242,2,2007-04-06T04:47:51.996+08:00,1.99,2005-07-06T06:19:25.000+08:00,2005-07-11T05:53:25.000+08:00
24187,156,91,1,2007-03-21T23:07:57.996+08:00,1.99,2005-08-22T00:39:31.000+08:00,2005-08-28T20:08:31.000+08:00
28443,560,183,2,2007-04-30T12:36:22.996+08:00,5.99,2005-07-31T14:07:56.000+08:00,2005-08-05T14:56:56.000+08:00
21849,513,504,2,2007-03-18T23:07:12.996+08:00,4.99,2005-08-19T00:38:46.000+08:00,2005-08-28T03:37:46.000+08:00
25469,294,928,1,2007-04-30T23:23:37.996+08:00,2.99,2005-07-31T00:55:11.000+08:00,2005-08-03T06:41:11.000+08:00
21031,425,25,2,2007-03-23T12:14:26.996+08:00,6.99,2005-08-23T13:46:00.000+08:00,2005-08-30T11:49:00.000+08:00
21967,526,966,2,2007-03-20T03:52:00.996+08:00,0.99,2005-08-20T05:23:34.000+08:00,2005-08-23T02:45:34.000+08:00
30722,152,239,1,2007-04-08T22:29:02.996+08:00,4.99,2005-07-09T00:00:36.000+08:00,2005-07-13T21:03:36.000+08:00
27324,459,841,2,2007-04-12T13:18:05.996+08:00,3.99,2005-07-12T14:49:39.000+08:00,2005-07-18T18:43:39.000+08:00
25924,334,838,1,2007-04-06T06:40:14.996+08:00,4.99,2005-07-06T08:11:48.000+08:00,2005-07-09T12:25:48.000+08:00
28098,527,976,1,2007-04-09T16:55:26.996+08:00,0.99,2005-07-09T18:27:00.000+08:00,2005-07-11T14:18:00.000+08:00
27006,429,222,2,2007-04-11T10:34:12.996+08:00,7.99,2005-07-11T12:05:46.000+08:00,2005-07-18T08:27:46.000+08:00
19549,270,706,1,2007-03-01T08:01:19.996+08:00,7.99,2005-08-01T09:32:53.000+08:00,2005-08-09T10:19:53.000+08:00
22094,539,521,2,2007-03-20T10:32:10.996+08:00,5.99,2005-08-20T12:03:44.000+08:00,2005-08-28T12:09:44.000+08:00
19206,183,302,1,2007-02-21T12:31:25.996+08:00,5.99,2005-06-21T14:02:59.000+08:00,2005-06-29T18:11:59.000+08:00
29254,25,892,1,2007-04-30T08:40:27.996+08:00,8.99,2005-07-30T10:12:01.000+08:00,2005-08-06T09:16:01.000+08:00
28571,572,727,2,2007-04-29T03:13:31.996+08:00,0.99,2005-07-29T04:45:05.000+08:00,2005-08-01T07:20:05.000+08:00
21349,459,951,1,2007-03-23T13:21:16.996+08:00,0.99,2005-08-23T14:52:50.000+08:00,2005-08-27T16:12:50.000+08:00
25288,280,11,1,2007-04-29T03:39:26.996+08:00,0.99,2005-07-29T05:11:00.000+08:00,2005-07-30T05:30:00.000+08:00
22143,545,136,2,2007-03-17T08:12:48.996+08:00,2.99,2005-08-17T09:44:22.000+08:00,2005-08-24T14:39:22.000+08:00
29935,85,327,2,2007-04-30T19:44:59.996+08:00,7.99,2005-07-30T21:16:33.000+08:00,2005-08-05T17:23:33.000+08:00
30612,143,998,2,2007-04-07T10:47:23.996+08:00,0.99,2005-07-07T12:18:57.000+08:00,2005-07-12T09:47:57.000+08:00
20672,389,568,2,2007-03-21T12:30:10.996+08:00,7.99,2005-08-21T14:01:44.000+08:00,2005-08-28T17:20:44.000+08:00
23209,54,650,1,2007-03-20T14:09:26.996+08:00,0.99,2005-08-20T15:41:00.000+08:00,2005-08-22T16:00:00.000+08:00
19785,294,388,2,2007-03-17T12:45:14.996+08:00,4.99,2005-08-17T14:16:48.000+08:00,2005-08-26T14:20:48.000+08:00
21082,433,320,1,2007-03-20T11:09:19.996+08:00,4.99,2005-08-20T12:40:53.000+08:00,2005-08-21T16:29:53.000+08:00
17641,377,970,2,2007-02-20T14:11:06.996+08:00,0.99,2005-06-20T15:42:40.000+08:00,2005-06-25T19:21:40.000+08:00
26283,364,901,1,2007-04-30T18:56:35.996+08:00,0.99,2005-07-31T20:28:09.000+08:00,2005-08-01T21:37:09.000+08:00
21999,529,141,2,2007-03-21T10:41:44.996+08:00,4.99,2005-08-21T12:13:18.000+08:00,2005-08-27T15:41:18.000+08:00
20825,405,698,1,2007-03-21T04:57:46.996+08:00,4.99,2005-08-21T06:29:20.000+08:00,2005-08-26T06:25:20.000+08:00
23931,133,206,2,2007-03-22T09:40:17.996+08:00,0.99,2005-08-22T11:11:51.000+08:00,2005-08-23T13:09:51.000+08:00
24593,198,32,1,2007-03-22T22:55:44.996+08:00,4.99,2005-08-23T00:27:18.000+08:00,2005-08-26T21:36:18.000+08:00
21113,436,657,2,2007-03-18T08:55:12.996+08:00,6.99,2005-08-18T10:26:46.000+08:00,2005-08-27T13:23:46.000+08:00
20385,361,553,2,2007-03-02T12:01:14.996+08:00,5.99,2005-08-02T13:32:48.000+08:00,2005-08-11T18:55:48.000+08:00
19192,179,838,1,2007-02-19T05:54:16.996+08:00,4.99,2005-06-19T07:25:50.000+08:00,2005-06-21T03:04:50.000+08:00
29689,63,303,2,2007-04-30T20:47:42.996+08:00,0.99,2005-07-31T22:19:16.000+08:00,2005-08-05T00:15:16.000+08:00
29814,74,88,2,2007-04-30T07:34:57.996+08:00,4.99,2005-07-30T09:06:31.000+08:00,2005-08-04T05:12:31.000+08:00
29757,69,172,2,2007-04-29T13:25:59.996+08:00,6.99,2005-07-29T14:57:33.000+08:00,2005-08-07T09:43:33.000+08:00
21438,468,18,1,2007-03-19T21:20:05.996+08:00,0.99,2005-08-19T22:51:39.000+08:00,2005-08-23T03:34:39.000+08:00
19172,176,603,1,2007-02-16T21:41:31.996+08:00,6.99,2005-06-16T23:13:05.000+08:00,2005-06-24T01:40:05.000+08:00
19737,288,773,2,2007-03-22T08:49:21.996+08:00,2.99,2005-08-22T10:20:55.000+08:00,2005-08-26T12:37:55.000+08:00
25808,323,224,2,2007-04-30T16:16:42.996+08:00,4.99,2005-07-31T17:48:16.000+08:00,2005-08-06T16:15:16.000+08:00
24094,148,770,1,2007-03-17T18:35:27.996+08:00,2.99,2005-08-17T20:07:01.000+08:00,2005-08-19T19:36:01.000+08:00
20709,393,595,1,2007-03-17T21:29:26.996+08:00,1.99,2005-08-17T23:01:00.000+08:00,2005-08-25T03:57:00.000+08:00
19279,200,189,2,2007-02-17T02:57:41.996+08:00,6.99,2005-06-17T04:29:15.000+08:00,2005-06-26T08:39:15.000+08:00
20811,404,840,1,2007-03-19T21:35:50.996+08:00,4.99,2005-08-19T23:07:24.000+08:00,2005-08-28T04:12:24.000+08:00
30793,158,786,1,2007-04-28T03:31:58.996+08:00,0.99,2005-07-28T05:03:32.000+08:00,2005-07-29T10:20:32.000+08:00
30717,151,229,1,2007-04-30T12:33:10.996+08:00,4.99,2005-07-31T14:04:44.000+08:00,2005-08-01T11:24:44.000+08:00
24976,249,1000,1,2007-03-02T08:29:21.996+08:00,4.99,2005-08-02T10:00:55.000+08:00,2005-08-05T10:38:55.000+08:00
27391,466,281,2,2007-04-09T02:14:59.996+08:00,0.99,2005-07-09T03:46:33.000+08:00,2005-07-15T01:14:33.000+08:00
22567,592,848,2,2007-03-20T06:40:24.996+08:00,3.99,2005-08-20T08:11:58.000+08:00,2005-08-26T13:34:58.000+08:00
29238,24,275,2,2007-04-07T18:57:34.996+08:00,2.99,2005-07-07T20:29:08.000+08:00,2005-07-12T19:17:08.000+08:00
19203,183,153,1,2007-02-15T06:42:23.996+08:00,0.99,2005-06-15T08:13:57.000+08:00,2005-06-18T09:36:57.000+08:00
31015,178,694,2,2007-04-11T18:47:19.996+08:00,4.99,2005-07-11T20:18:53.000+08:00,2005-07-16T20:45:53.000+08:00
28572,572,851,1,2007-04-29T05:41:59.996+08:00,0.99,2005-07-29T07:13:33.000+08:00,2005-07-30T03:14:33.000+08:00
23673,106,345,2,2007-03-21T09:59:41.996+08:00,2.99,2005-08-21T11:31:15.000+08:00,2005-08-26T11:22:15.000+08:00
31264,209,12,2,2007-04-09T07:52:45.996+08:00,3.99,2005-07-09T09:24:19.000+08:00,2005-07-18T04:02:19.000+08:00
22022,532,471,2,2007-03-02T12:09:15.996+08:00,2.99,2005-08-02T13:40:49.000+08:00,2005-08-09T14:16:49.000+08:00
27742,495,312,2,2007-04-30T17:56:00.996+08:00,4.99,2005-07-31T19:27:34.000+08:00,2005-08-01T13:45:34.000+08:00
24339,172,982,1,2007-03-23T15:56:29.996+08:00,3.99,2005-08-23T17:28:03.000+08:00,2005-08-30T18:36:03.000+08:00
25410,290,275,2,2007-04-07T20:33:02.996+08:00,0.99,2005-07-07T22:04:36.000+08:00,2005-07-09T02:44:36.000+08:00
24142,151,681,2,2007-03-23T19:00:04.996+08:00,2.99,2005-08-23T20:31:38.000+08:00,2005-08-29T20:58:38.000+08:00
19522,267,715,1,2007-03-18T04:55:17.996+08:00,4.99,2005-08-18T06:26:51.000+08:00,2005-08-20T04:00:51.000+08:00
25921,333,324,2,2007-04-30T16:31:39.996+08:00,10.99,2005-07-30T18:03:13.000+08:00,2005-08-08T23:57:13.000+08:00
19633,277,392,2,2007-03-02T08:36:20.996+08:00,4.99,2005-08-02T10:07:54.000+08:00,2005-08-05T11:35:54.000+08:00
27635,486,815,1,2007-04-07T19:06:19.996+08:00,2.99,2005-07-07T20:37:53.000+08:00,2005-07-10T16:54:53.000+08:00
28629,576,707,1,2007-04-30T16:09:31.996+08:00,2.99,2005-07-31T17:41:05.000+08:00,2005-08-02T20:51:05.000+08:00
21577,482,109,2,2007-03-16T21:21:20.996+08:00,6.99,2005-08-16T22:52:54.000+08:00,2005-08-25T03:27:54.000+08:00
28482,564,625,2,2007-04-30T05:53:00.996+08:00,3.99,2005-07-30T07:24:34.000+08:00,2005-08-05T01:28:34.000+08:00
30099,99,353,1,2007-04-10T10:48:25.996+08:00,2.99,2005-07-10T12:19:59.000+08:00,2005-07-12T12:59:59.000+08:00
30020,91,276,2,2007-04-30T18:35:50.996+08:00,4.99,2005-07-30T20:07:24.000+08:00,2005-08-03T21:20:24.000+08:00
23224,56,317,1,2007-03-17T03:39:35.996+08:00,4.99,2005-08-17T05:11:09.000+08:00,2005-08-25T07:51:09.000+08:00
17988,465,873,1,2007-02-15T10:41:08.996+08:00,2.99,2005-06-15T12:12:42.000+08:00,2005-06-20T12:38:42.000+08:00
24139,151,504,2,2007-03-22T03:41:31.996+08:00,3.99,2005-08-22T05:13:05.000+08:00,2005-08-30T04:59:05.000+08:00
28787,590,63,1,2007-04-09T07:37:19.996+08:00,0.99,2005-07-09T09:08:53.000+08:00,2005-07-14T06:01:53.000+08:00
20644,386,266,1,2007-03-23T17:34:30.996+08:00,0.99,2005-08-23T19:06:04.000+08:00,2005-08-26T18:39:04.000+08:00
