payment_id,customer_id,film_id,store_id,payment_date,sale_amount,rental_date,return_date
23412,76,603,2,2007-03-01T20:25:03.996+08:00,4.99,2005-08-01T21:56:37.000+08:00,2005-08-03T01:36:37.000+08:00
20162,337,572,2,2007-03-20T23:42:03.996+08:00,5.99,2005-08-21T01:13:37.000+08:00,2005-08-28T02:35:37.000+08:00
28441,560,586,2,2007-04-29T23:50:05.996+08:00,4.99,2005-07-30T01:21:39.000+08:00,2005-08-07T02:14:39.000+08:00
17752,404,890,2,2007-02-15T20:48:03.996+08:00,2.99,2005-06-15T22:19:37.000+08:00,2005-06-22T18:28:37.000+08:00
21315,456,61,1,2007-03-19T19:00:14.996+08:00,4.99,2005-08-19T20:31:48.000+08:00,2005-08-21T21:01:48.000+08:00
21351,460,875,1,2007-03-02T00:55:03.996+08:00,1.99,2005-08-02T02:26:37.000+08:00,2005-08-09T20:55:37.000+08:00
31208,197,183,1,2007-04-07T23:37:35.996+08:00,8.99,2005-07-08T01:09:09.000+08:00,2005-07-16T23:40:09.000+08:00
23603,97,326,1,2007-03-01T21:22:06.996+08:00,2.99,2005-08-01T22:53:40.000+08:00,2005-08-02T17:59:40.000+08:00
28370,553,57,1,2007-04-11T03:13:25.996+08:00,2.99,2005-07-11T04:44:59.000+08:00,2005-07-13T01:00:59.000+08:00
25671,311,698,2,2007-04-28T19:54:11.996+08:00,6.99,2005-07-28T21:25:45.000+08:00,2005-08-04T18:04:45.000+08:00
30131,101,861,2,2007-04-30T14:47:58.996+08:00,6.99,2005-07-31T16:19:32.000+08:00,2005-08-05T20:18:32.000+08:00
21777,504,334,1,2007-03-22T13:34:03.996+08:00,6.99,2005-08-22T15:05:37.000+08:00,2005-08-30T12:22:37.000+08:00
17518,343,855,1,2007-02-21T14:42:28.996+08:00,0.99,2005-06-21T16:14:02.000+08:00,2005-06-24T15:38:02.000+08:00
25374,286,79,1,2007-04-30T09:47:47.996+08:00,3.99,2005-07-31T11:19:21.000+08:00,2005-08-08T12:43:21.000+08:00
21964,526,724,2,2007-03-17T05:47:22.996+08:00,4.99,2005-08-17T07:18:56.000+08:00,2005-08-24T06:33:56.000+08:00
30272,113,548,2,2007-04-30T11:48:32.996+08:00,6.99,2005-07-30T13:20:06.000+08:00,2005-08-06T13:58:06.000+08:00
30226,108,17,2,2007-04-30T07:53:21.996+08:00,4.99,2005-07-31T09:24:55.000+08:00,2005-08-07T06:00:55.000+08:00
24245,161,305,1,2007-03-22T22:24:17.996+08:00,5.99,2005-08-22T23:55:51.000+08:00,2005-08-31T20:09:51.000+08:00
29300,29,680,2,2007-04-09T20:23:45.996+08:00,10.99,2005-07-09T21:55:19.000+08:00,2005-07-19T01:18:19.000+08:00
28031,522,65,2,2007-04-08T03:37:21.996+08:00,9.99,2005-07-08T05:08:55.000+08:00,2005-07-16T05:44:55.000+08:00
30622,144,733,2,2007-04-09T02:22:38.996+08:00,0.99,2005-07-09T03:54:12.000+08:00,2005-07-11T22:39:12.000+08:00
22607,597,620,2,2007-03-19T06:36:09.996+08:00,2.99,2005-08-19T08:07:43.000+08:00,2005-08-20T12:09:43.000+08:00
19922,308,268,2,2007-03-19T00:20:16.996+08:00,6.99,2005-08-19T01:51:50.000+08:00,2005-08-27T23:12:50.000+08:00
27564,480,255,2,2007-04-30T16:22:05.996+08:00,4.99,2005-07-30T17:53:39.000+08:00,2005-08-02T12:25:39.000+08:00
31939,349,22,1,2007-05-14T13:44:29.996+08:00,2.99,2006-02-14T15:16:03.000+08:00,
30257,112,777,2,2007-04-30T15:48:10.996+08:00,6.99,2005-07-30T17:19:44.000+08:00,2005-08-06T22:42:44.000+08:00
24600,199,152,2,2007-03-23T11:09:33.996+08:00,3.99,2005-08-23T12:41:07.000+08:00,2005-08-29T07:03:07.000+08:00
28516,567,417,2,2007-04-08T04:19:45.996+08:00,0.99,2005-07-08T05:51:19.000+08:00,2005-07-10T11:36:19.000+08:00
30982,175,736,1,2007-04-09T11:03:34.996+08:00,1.99,2005-07-09T12:35:08.000+08:00,2005-07-14T14:55:08.000+08:00
26838,414,458,2,2007-04-12T12:25:14.996+08:00,0.99,2005-07-12T13:56:48.000+08:00,2005-07-15T18:49:48.000+08:00
22650,204,908,2,2007-03-22T22:17:22.996+08:00,11.99,2005-08-22T23:48:56.000+08:00,2005-09-01T02:05:56.000+08:00
26619,394,895,2,2007-04-27T16:25:41.996+08:00,3.99,2005-07-27T17:57:15.000+08:00,2005-07-31T20:24:15.000+08:00
26233,360,574,2,2007-04-30T16:57:52.996+08:00,0.99,2005-07-30T18:29:26.000+08:00,2005-07-31T19:43:26.000+08:00
27070,435,51,2,2007-04-30T10:27:04.996+08:00,4.99,2005-07-31T11:58:38.000+08:00,2005-08-07T08:11:38.000+08:00
18370,573,975,1,2007-02-16T05:23:36.996+08:00,4.99,2005-06-16T06:55:10.000+08:00,2005-06-24T12:08:10.000+08:00
20161,337,273,2,2007-03-20T14:18:43.996+08:00,3.99,2005-08-20T15:50:17.000+08:00,2005-08-29T13:33:17.000+08:00
17560,355,241,2,2007-02-15T20:08:20.996+08:00,0.99,2005-06-15T21:39:54.000+08:00,2005-06-16T20:33:54.000+08:00
24601,200,442,1,2007-03-01T16:18:04.996+08:00,2.99,2005-08-01T17:49:38.000+08:00,2005-08-07T21:04:38.000+08:00
26415,375,518,1,2007-04-28T08:16:50.996+08:00,4.99,2005-07-28T09:48:24.000+08:00,2005-07-29T09:49:24.000+08:00
22495,584,871,2,2007-03-16T21:29:48.996+08:00,6.99,2005-08-16T23:01:22.000+08:00,2005-08-24T22:54:22.000+08:00
28744,586,346,2,2007-04-05T21:59:02.996+08:00,6.99,2005-07-05T23:30:36.000+08:00,2005-07-11T04:00:36.000+08:00
24927,242,913,1,2007-03-22T06:34:26.996+08:00,0.99,2005-08-22T08:06:00.000+08:00,2005-08-24T10:48:00.000+08:00
31957,417,773,2,2007-05-14T13:44:29.996+08:00,2.99,2006-02-14T15:16:03.000+08:00,
22570,593,127,1,2007-03-01T22:07:00.996+08:00,5.99,2005-08-01T23:38:34.000+08:00,2005-08-07T02:36:34.000+08:00
31978,497,798,1,2007-05-14T13:44:29.996+08:00,4.99,2006-02-14T15:16:03.000+08:00,
30670,147,718,1,2007-04-28T03:14:03.996+08:00,0.99,2005-07-28T04:45:37.000+08:00,2005-07-30T09:03:37.000+08:00
19581,273,603,2,2007-03-20T09:11:08.996+08:00,4.99,2005-08-20T10:42:42.000+08:00,2005-08-25T09:32:42.000+08:00
20823,405,652,1,2007-03-19T17:24:58.996+08:00,1.99,2005-08-19T18:56:32.000+08:00,2005-08-23T20:04:32.000+08:00
24901,240,687,2,2007-03-23T06:35:15.996+08:00,0.99,2005-08-23T08:06:49.000+08:00,2005-08-24T13:17:49.000+08:00
28932,204,524,2,2007-04-09T06:41:51.996+08:00,0.99,2005-07-09T08:13:25.000+08:00,2005-07-10T03:56:25.000+08:00
28822,592,668,2,2007-04-27T13:27:06.996+08:00,4.99,2005-07-27T14:58:40.000+08:00,2005-08-03T09:01:40.000+08:00
30858,165,496,1,2007-04-06T12:26:22.996+08:00,5.99,2005-07-06T13:57:56.000+08:00,2005-07-14T17:24:56.000+08:00
18204,524,660,2,2007-02-21T19:40:39.996+08:00,2.99,2005-06-21T21:12:13.000+08:00,2005-06-25T23:23:13.000+08:00
28173,533,749,2,2007-04-27T20:45:31.996+08:00,4.99,2005-07-27T22:17:05.000+08:00,2005-08-02T02:50:05.000+08:00
29568,51,811,1,2007-04-09T10:58:49.996+08:00,2.99,2005-07-09T12:30:23.000+08:00,2005-07-13T08:41:23.000+08:00
27659,488,403,2,2007-04-07T11:28:46.996+08:00,5.99,2005-07-07T13:00:20.000+08:00,2005-07-13T16:37:20.000+08:00
26385,373,236,2,2007-04-06T04:04:48.996+08:00,2.99,2005-07-06T05:36:22.000+08:00,2005-07-10T05:55:22.000+08:00
30264,113,557,2,2007-04-09T08:51:47.996+08:00,2.99,2005-07-09T10:23:21.000+08:00,2005-07-14T08:06:21.000+08:00
20326,354,828,1,2007-03-18T12:54:17.996+08:00,3.99,2005-08-18T14:25:51.000+08:00,2005-08-26T18:42:51.000+08:00
19398,238,761,1,2007-02-20T21:19:28.996+08:00,2.99,2005-06-20T22:51:02.000+08:00,2005-06-27T21:21:02.000+08:00
22470,581,231,2,2007-03-17T05:53:25.996+08:00,2.99,2005-08-17T07:24:59.000+08:00,2005-08-24T10:40:59.000+08:00
27166,443,160,2,2007-04-12T07:35:06.996+08:00,5.99,2005-07-12T09:06:40.000+08:00,2005-07-21T04:57:40.000+08:00
18914,107,759,2,2007-02-20T01:02:49.996+08:00,3.99,2005-06-20T02:34:23.000+08:00,2005-06-25T05:29:23.000+08:00
26110,349,811,1,2007-04-30T05:01:59.996+08:00,5.99,2005-07-31T06:33:33.000+08:00,2005-08-07T04:51:33.000+08:00
26937,423,679,2,2007-04-28T16:36:28.996+08:00,3.99,2005-07-28T18:08:02.000+08:00,2005-08-04T14:33:02.000+08:00
22116,541,489,1,2007-03-22T15:42:05.996+08:00,1.99,2005-08-22T17:13:39.000+08:00,2005-08-27T11:17:39.000+08:00
18125,503,352,2,2007-02-21T17:14:34.996+08:00,0.99,2005-06-21T18:46:08.000+08:00,2005-06-22T13:49:08.000+08:00
22515,586,326,2,2007-03-20T20:15:09.996+08:00,2.99,2005-08-20T21:46:43.000+08:00,2005-08-21T18:27:43.000+08:00
23167,51,728,2,2007-03-17T07:36:22.996+08:00,6.99,2005-08-17T09:07:56.000+08:00,2005-08-26T13:16:56.000+08:00
26012,341,747,1,2007-04-29T13:56:50.996+08:00,2.99,2005-07-29T15:28:24.000+08:00,2005-08-05T20:04:24.000+08:00
24207,158,807,2,2007-03-19T13:52:33.996+08:00,1.99,2005-08-19T15:24:07.000+08:00,2005-08-24T21:03:07.000+08:00
31178,194,169,2,2007-04-09T06:43:24.996+08:00,2.99,2005-07-09T08:14:58.000+08:00,2005-07-11T07:04:58.000+08:00
26801,410,900,1,2007-04-09T15:29:34.996+08:00,2.99,2005-07-09T17:01:08.000+08:00,2005-07-11T19:22:08.000+08:00
31977,496,80,1,2007-05-14T13:44:29.996+08:00,2.99,2006-02-14T15:16:03.000+08:00,
26322,367,484,1,2007-04-30T04:34:04.996+08:00,3.99,2005-07-30T06:05:38.000+08:00,2005-08-03T00:19:38.000+08:00
17599,364,898,2,2007-02-19T05:19:58.996+08:00,4.99,2005-06-19T06:51:32.000+08:00,2005-06-21T03:15:32.000+08:00
24627,209,381,1,2007-03-01T14:26:21.996+08:00,4.99,2005-08-01T15:57:55.000+08:00,2005-08-02T19:08:55.000+08:00
29973,89,382,2,2007-04-07T07:18:59.996+08:00,4.99,2005-07-07T08:50:33.000+08:00,2005-07-14T10:56:33.000+08:00
25340,284,841,2,2007-04-26T23:22:07.996+08:00,2.99,2005-07-27T00:53:41.000+08:00,2005-07-31T06:19:41.000+08:00
30054,95,385,1,2007-04-27T17:30:45.996+08:00,4.99,2005-07-27T19:02:19.000+08:00,2005-07-30T15:12:19.000+08:00
29637,58,438,1,2007-04-06T07:59:11.996+08:00,4.99,2005-07-06T09:30:45.000+08:00,2005-07-11T15:16:45.000+08:00
26218,359,537,2,2007-04-30T22:08:34.996+08:00,5.99,2005-07-31T23:40:08.000+08:00,2005-08-06T21:08:08.000+08:00
17710,391,309,2,2007-02-17T05:20:22.996+08:00,0.99,2005-06-17T06:51:56.000+08:00,2005-06-22T08:27:56.000+08:00
17772,408,873,1,2007-02-19T02:09:36.996+08:00,2.99,2005-06-19T03:41:10.000+08:00,2005-06-24T03:10:10.000+08:00
18646,35,138,1,2007-02-17T09:15:50.996+08:00,2.99,2005-06-17T10:47:24.000+08:00,2005-06-19T05:12:24.000+08:00
28596,574,958,1,2007-04-09T03:41:48.996+08:00,3.99,2005-07-09T05:13:22.000+08:00,2005-07-16T09:11:22.000+08:00
18426,588,561,1,2007-02-18T17:59:19.996+08:00,2.99,2005-06-18T19:30:53.000+08:00,2005-06-20T17:22:53.000+08:00
27901,509,78,1,2007-04-28T22:06:23.996+08:00,5.99,2005-07-28T23:37:57.000+08:00,2005-08-07T00:29:57.000+08:00
23546,90,406,1,2007-03-16T22:23:13.996+08:00,0.99,2005-08-16T23:54:47.000+08:00,2005-08-17T20:05:47.000+08:00
30708,150,239,2,2007-04-28T01:54:47.996+08:00,4.99,2005-07-28T03:26:21.000+08:00,2005-07-29T00:08:21.000+08:00
26696,402,356,2,2007-04-09T15:18:12.996+08:00,4.99,2005-07-09T16:49:46.000+08:00,2005-07-16T19:05:46.000+08:00
28312,547,767,2,2007-04-27T15:38:05.996+08:00,4.99,2005-07-27T17:09:39.000+08:00,2005-07-30T12:30:39.000+08:00
20906,413,624,2,2007-03-20T12:11:38.996+08:00,4.99,2005-08-20T13:43:12.000+08:00,2005-08-22T17:26:12.000+08:00
21184,443,643,2,2007-03-22T21:32:35.996+08:00,4.99,2005-08-22T23:04:09.000+08:00,2005-08-27T02:23:09.000+08:00
30178,104,720,2,2007-04-30T16:00:29.996+08:00,5.99,2005-07-31T17:32:03.000+08:00,2005-08-06T16:17:03.000+08:00
29128,12,719,2,2007-04-30T06:13:59.996+08:00,5.99,2005-07-31T07:45:33.000+08:00,2005-08-08T08:56:33.000+08:00
22706,3,312,2,2007-03-21T19:19:14.996+08:00,8.99,2005-08-21T20:50:48.000+08:00,2005-08-29T18:08:48.000+08:00
23683,108,582,2,2007-03-17T08:09:49.996+08:00,2.99,2005-08-17T09:41:23.000+08:00,2005-08-19T11:58:23.000+08:00
31555,235,986,2,2007-04-06T02:26:01.996+08:00,2.99,2005-07-06T03:57:35.000+08:00,2005-07-07T08:07:35.000+08:00
26708,403,403,1,2007-04-11T18:16:50.996+08:00,4.99,2005-07-11T19:48:24.000+08:00,2005-07-13T14:09:24.000+08:00
25603,305,410,1,2007-04-09T02:28:09.996+08:00,2.99,2005-07-09T03:59:43.000+08:00,2005-07-12T05:48:43.000+08:00
27055,434,807,2,2007-04-09T21:26:40.996+08:00,2.99,2005-07-09T22:58:14.000+08:00,2005-07-15T02:48:14.000+08:00
18055,482,958,2,2007-02-20T11:18:21.996+08:00,2.99,2005-06-20T12:49:55.000+08:00,2005-06-26T11:06:55.000+08:00
23663,105,42,1,2007-03-20T09:45:29.996+08:00,2.99,2005-08-20T11:17:03.000+08:00,2005-08-22T14:12:03.000+08:00
20893,412,123,2,2007-03-02T04:15:36.996+08:00,4.99,2005-08-02T05:47:10.000+08:00,2005-08-05T23:51:10.000+08:00
18529,8,521,2,2007-02-20T16:26:13.996+08:00,4.99,2005-06-20T17:57:47.000+08:00,2005-06-21T19:18:47.000+08:00
25302,282,800,2,2007-04-06T07:37:45.996+08:00,2.99,2005-07-06T09:09:19.000+08:00,2005-07-12T08:51:19.000+08:00
17685,386,373,2,2007-02-16T03:19:39.996+08:00,3.99,2005-06-16T04:51:13.000+08:00,2005-06-24T00:23:13.000+08:00
22727,5,266,1,2007-03-19T08:14:07.996+08:00,1.99,2005-08-19T09:45:41.000+08:00,2005-08-24T09:11:41.000+08:00
30042,93,358,1,2007-04-28T22:44:49.996+08:00,0.99,2005-07-29T00:16:23.000+08:00,2005-08-03T05:17:23.000+08:00
27619,485,468,1,2007-04-09T08:56:44.996+08:00,2.99,2005-07-09T10:28:18.000+08:00,2005-07-12T12:18:18.000+08:00
19472,258,920,2,2007-02-19T10:40:49.996+08:00,0.99,2005-06-19T12:12:23.000+08:00,2005-06-21T16:28:23.000+08:00
25024,254,437,2,2007-03-19T10:35:08.996+08:00,2.99,2005-08-19T12:06:42.000+08:00,2005-08-23T12:08:42.000+08:00
31701,245,747,2,2007-04-30T06:49:28.996+08:00,0.99,2005-07-30T08:21:02.000+08:00,2005-08-01T09:55:02.000+08:00
21728,500,226,2,2007-03-20T05:32:19.996+08:00,4.99,2005-08-20T07:03:53.000+08:00,2005-08-22T11:27:53.000+08:00
19226,188,727,2,2007-02-17T05:16:45.996+08:00,0.99,2005-06-17T06:48:19.000+08:00,2005-06-21T03:23:19.000+08:00
23022,35,275,1,2007-03-02T19:28:18.996+08:00,7.99,2005-08-02T20:59:52.000+08:00,2005-08-12T01:16:52.000+08:00
21383,462,131,1,2007-03-19T18:24:27.996+08:00,4.99,2005-08-19T19:56:01.000+08:00,2005-08-20T22:16:01.000+08:00
31028,179,619,1,2007-04-06T07:29:55.996+08:00,6.99,2005-07-06T09:01:29.000+08:00,2005-07-15T08:08:29.000+08:00
30170,104,953,2,2007-04-07T21:24:43.996+08:00,6.99,2005-07-07T22:56:17.000+08:00,2005-07-16T17:28:17.000+08:00
21553,479,893,2,2007-03-19T08:45:09.996+08:00,8.99,2005-08-19T10:16:43.000+08:00,2005-08-27T11:35:43.000+08:00
30808,159,632,1,2007-04-30T00:44:19.996+08:00,7.99,2005-07-31T02:15:53.000+08:00,2005-08-08T02:38:53.000+08:00
20354,357,481,2,2007-03-02T05:26:21.996+08:00,2.99,2005-08-02T06:57:55.000+08:00,2005-08-06T01:31:55.000+08:00
21368,461,693,1,2007-03-21T01:59:33.996+08:00,4.99,2005-08-21T03:31:07.000+08:00,2005-08-28T07:29:07.000+08:00
19638,277,429,2,2007-03-20T01:27:08.996+08:00,4.99,2005-08-20T02:58:42.000+08:00,2005-08-27T22:36:42.000+08:00
20297,350,735,2,2007-03-18T09:24:46.996+08:00,2.99,2005-08-18T10:56:20.000+08:00,2005-08-21T16:46:20.000+08:00
26057,346,298,2,2007-04-11T17:30:45.996+08:00,2.99,2005-07-11T19:02:19.000+08:00,2005-07-14T15:54:19.000+08:00
22613,598,376,2,2007-03-21T07:09:41.996+08:00,0.99,2005-08-21T08:41:15.000+08:00,2005-08-24T11:59:15.000+08:00
30854,164,173,1,2007-04-27T08:22:09.996+08:00,6.99,2005-07-27T09:53:43.000+08:00,2005-08-05T09:36:43.000+08:00
21168,442,430,2,2007-03-01T07:40:02.996+08:00,0.99,2005-08-01T09:11:36.000+08:00,2005-08-04T13:28:36.000+08:00
31503,230,849,2,2007-04-09T12:51:31.996+08:00,2.99,2005-07-09T14:23:05.000+08:00,2005-07-17T14:03:05.000+08:00
29345,32,478,1,2007-04-11T06:26:33.996+08:00,3.99,2005-07-11T07:58:07.000+08:00,2005-07-16T09:52:07.000+08:00
22213,552,645,2,2007-03-23T08:49:47.996+08:00,2.99,2005-08-23T10:21:21.000+08:00,2005-08-24T15:37:21.000+08:00
21331,458,841,2,2007-03-17T16:27:05.996+08:00,2.99,2005-08-17T17:58:39.000+08:00,2005-08-20T19:11:39.000+08:00
