film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,language,category
880,Telemark Heartbreakers,A Action-Packed Panorama of a Technical Writer And a Man who must Build a Forensic Psychologist in A Manhattan Penthouse,2006,6,2.99,152,9.99,PG-13,English,Animation
772,Sea Virgin,A Fast-Paced Documentary of a Technical Writer And a Pastry Chef who must Escape a Moose in A U-Boat,2006,4,2.99,80,24.99,PG,English,Drama
600,Motions Details,A Awe-Inspiring Reflection of a Dog And a Student who must Kill a Car in An Abandoned Fun House,2006,5,0.99,166,16.99,PG,English,Horror
91,Bound Cheaper,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,2006,5,0.99,98,17.99,PG,English,Classics
742,Roof Champion,A Lacklusture Reflection of a Car And a Explorer who must Find a Monkey in A Baloon,2006,7,0.99,101,25.99,R,English,Games
33,Apollo Teen,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,2006,5,2.99,153,15.99,PG-13,English,Drama
40,Army Flintstones,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,4,0.99,148,22.99,R,English,Documentary
80,Blanket Beverly,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,2006,7,2.99,148,21.99,G,English,Family
292,Excitement Eve,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,2006,3,0.99,51,20.99,G,English,Action
812,Smoking Barbarella,A Lacklusture Saga of a Mad Cow And a Mad Scientist who must Sink a Cat in A MySQL Convention,2006,7,0.99,50,13.99,PG-13,English,Documentary
562,Masked Bubble,A Fanciful Documentary of a Pioneer And a Boat who must Pursue a Pioneer in An Abandoned Mine Shaft,2006,6,0.99,151,12.99,PG-13,English,Music
933,Vampire Whale,A Epic Story of a Lumberjack And a Monkey who must Confront a Pioneer in A MySQL Convention,2006,4,4.99,126,11.99,NC-17,English,New
948,Voice Peach,A Amazing Panorama of a Pioneer And a Student who must Overcome a Mad Scientist in A Manhattan Penthouse,2006,6,0.99,139,22.99,PG-13,English,New
841,Star Operation,A Insightful Character Study of a Girl And a Car who must Pursue a Mad Cow in A Shark Tank,2006,5,2.99,181,9.99,PG,English,Sports
781,Seven Swarm,A Unbelieveable Character Study of a Dog And a Mad Cow who must Kill a Monkey in Berlin,2006,4,4.99,127,15.99,R,English,Games
661,Past Suicides,A Intrepid Tale of a Madman And a Astronaut who must Challenge a Hunter in A Monastery,2006,5,4.99,157,17.99,PG-13,English,Foreign
457,Independence Hotel,A Thrilling Tale of a Technical Writer And a Boy who must Face a Pioneer in A Monastery,2006,5,0.99,157,21.99,NC-17,English,Documentary
843,Steel Santa,A Fast-Paced Yarn of a Composer And a Frisbee who must Face a Moose in Nigeria,2006,4,4.99,143,15.99,NC-17,English,Classics
833,Splendor Patton,A Taut Story of a Dog And a Explorer who must Find a Astronaut in Berlin,2006,5,0.99,134,20.99,R,English,Children
713,Rainbow Shock,A Action-Packed Story of a Hunter And a Boy who must Discover a Lumberjack in Ancient India,2006,3,4.99,74,14.99,PG,English,Documentary
252,Dream Pickup,A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico,2006,6,2.99,135,18.99,PG,English,Action
469,Iron Moon,A Fast-Paced Documentary of a Mad Cow And a Boy who must Pursue a Dentist in A Baloon,2006,7,4.99,46,27.99,PG,English,Classics
187,Cranes Reservoir,A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory,2006,5,2.99,57,12.99,NC-17,English,Sports
225,Destination Jerk,A Beautiful Yarn of a Teacher And a Cat who must Build a Car in A U-Boat,2006,3,0.99,76,19.99,PG-13,English,Drama
692,Potluck Mixed,A Beautiful Story of a Dog And a Technical Writer who must Outgun a Student in A Baloon,2006,3,2.99,179,10.99,G,English,Animation
13,Ali Forever,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,4,4.99,150,21.99,PG,English,Horror
472,Italian African,A Astounding Character Study of a Monkey And a Moose who must Outgun a Cat in A U-Boat,2006,3,4.99,174,24.99,G,English,Travel
688,Polish Brooklyn,A Boring Character Study of a Database Administrator And a Lumberjack who must Reach a Madman in The Outback,2006,6,0.99,61,12.99,PG,English,Children
962,Wasteland Divine,A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China,2006,7,2.99,85,18.99,PG,English,Classics
146,Chitty Lock,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,6,2.99,107,24.99,G,English,Drama
265,Dying Maker,A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California,2006,5,4.99,168,28.99,PG,English,Comedy
785,Shawshank Bubble,A Lacklusture Story of a Moose And a Monkey who must Confront a Butler in An Abandoned Amusement Park,2006,6,4.99,80,20.99,PG,English,Travel
943,Villain Desperate,A Boring Yarn of a Pioneer And a Feminist who must Redeem a Cat in An Abandoned Amusement Park,2006,4,4.99,76,27.99,PG-13,English,Documentary
414,Hellfighters Sierra,A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia,2006,3,2.99,75,23.99,PG,English,Foreign
280,Empire Malkovich,A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House,2006,7,0.99,177,26.99,G,English,Children
196,Cruelty Unforgiven,A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria,2006,7,0.99,69,29.99,G,English,Classics
506,Lady Stage,A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat,2006,4,4.99,67,14.99,PG,English,Horror
